bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
96008643,specimen,9908,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1958-07-08T01:00Z,1958,,Platismatia glauca (L.) W. L. Culb. & C. F. Culb.,Platismatia glauca,Platismatia glauca,,NULL,190726,190726,,46.36392975,-123.9492188,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96008645,specimen,8828,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1956-10-10T01:00Z,1956,,Pseudocyphellaria anthraspis (Ach.) H. Magn.,Pseudocyphellaria anthraspis,Pseudocyphellaria anthraspis,,NULL,191270,191270,,46.36392975,-123.9492188,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96041935,specimen,15397,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1956-07-05T01:00Z,1956,,Hypogymnia enteromorpha (Ach.) Nyl.,Hypogymnia enteromorpha,Hypogymnia enteromorpha,,NULL,190671,190671,,46.27333069,-123.9449997,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96043460,specimen,10529,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1954-08-30T01:00Z,1954,,Usnea stuppea (Räsänen) Motyka,Usnea stuppea,Usnea stuppea,,NULL,190839,190839,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96043464,specimen,9318,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),,,,Ramalina dilacerata (Hoffm.) Hoffm.,Ramalina dilacerata,Ramalina dilacerata,,NULL,190866,190866,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96043465,specimen,10538,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1940-07-10T02:00Z,1940,,Usnea stuppea (Räsänen) Motyka,Usnea stuppea,Usnea stuppea,,NULL,190839,190839,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96043466,specimen,40147,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1948-07-07T02:00Z,1948,,Lobaria oregana (Tuck.) Müll. Arg.,Lobaria oregana,Lobaria oregana,,NULL,191260,191260,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96043468,specimen,41135,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1940-07-10T02:00Z,1940,,Nephroma resupinatum (L.) Ach.,Nephroma resupinatum,Nephroma resupinatum,,NULL,191296,191296,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96043470,specimen,9323,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1940-07-10T02:00Z,1940,,Ramalina dilacerata (Hoffm.) Hoffm.,Ramalina dilacerata,Ramalina dilacerata,,NULL,190866,190866,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96043471,specimen,8217,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1956-07-05T01:00Z,1956,,Lecanora varia (Hoffm.) Ach.,Lecanora varia,Lecanora varia,,NULL,190468,190468,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
